,Question Asked,Agency
0,eForm 16 and V103,ICA
1,What is the latest new update of number plate,LTA
2,need to know further about Benefit In kind,IRAS IIT
3,how to filling individual tax return,IRAS IIT
4,can not reopen XBRL zipped file,ACRA
5,starting from which month,IRAS IIT
6,i will like to ask about corporate withholding tax,IRAS IIT
7,how do i pay overstay fine,ICA
8,how long to register as filing agent,ACRA
9,What is the email address to write for early enlistment,MINDEF
10,AMK police station,SPF
11,I want to get a printout of my food and hygiene certificate,SSG
12,appeal message,LTA
13,is airticket zero rated purchases,IRAS GST
14,why i cant renew road tax,LTA
15,good evening I would like to pay my outstanding traffic offence where can I do it on your website,SPF
16,I need information about export meet like ham salami coppa from Italy to Singapore,AVA
17,Gold ink fading on passport cover,ICA
18,how do I apply for export health certificate after lab test is done,AVA
19,I just got knocked by a PMD rider What should I do,SPF
20,If I applied for my PDL online how do I receive the PDL,SPF
21,wmcr amount need to enter,IRAS IIT
22,Hi can I lodge a report against debt collector,SPF
23,aSingapore Citizen SC or Singapore Permanent Resident SPR who resides in Singapore except for temporary absences,IRAS IIT
24,floating restaurant,AVA
25,whats UL2272,LTA
26,How to check date obtained SPR,ICA
27,how to withdraw primary 1 regristration online,MOE
28,will skillsfuture top up my dredit,SSG
29,Pre enlistee hotline,MINDEF
30,I applied PR for my husband Is he required to serve NS,MINDEF
31,payment of traffic offence,SPF
32,can i check from jurong west street 91 blk 913 to bugis junction is there an erp,LTA
33,where i can send my eappeal application for coc,SPF
34,how do i renew my passport after it expires,ICA
35,i want to talk with you in chinese,ICA
36,hi I wish to change company names how should this be done,ACRA
37,my FIN G3804337R,IRAS IIT
38,can i claim udemy courses,SSG
39,How to claim for a replacement certificate of a Singapore share which I lost it in USA,SPF
40,Is CCA compulsory in JC,MOE
41,school fees queries MOE Kindergarten,MOE
42,is an unaudited financial statement required,ACRA
43,Do I need to apply for any permit or licence for operating a karaoke pub,AVA
44,You have applied for deferment to pursue DIPLOMA from Apr 2020 Should you gain admission into a local ITE college or polytechnic no further action is required from you,MINDEF
45,how to get assessment 2018,IRAS IIT
46,Im holding Australian permannent resident visa and Chinese passport I want to travel from China to Sydney and stop over at Singapore for 12 days,ICA
47,how many points if revoke,SPF
48,where can i download form b,IRAS IIT
49,what do CID officers do,SPF
50,How to check IPPT award crediting,MINDEF
51,missing on company name,ACRA
52,HI THANKS,AVA
53,I need to transfer my reentry permit to another passport I was unable to do it online Can I do this at the ICA Centre in Kallang,ICA
54,How to accept coe rebate transfer,LTA
55,I can go for number plate inspection without a letter,LTA
56,To check my rebate,LTA
57,My COC ref Number is 90564219 Can u help me look for the shipment tracking number Thanks,SPF
58,how to check any outstanding traffic fine,SPF
59,Police clearance certificate but been in singapore less than 6 months,SPF
60,Exempted requirements,ACRA
61,can i apply passport on behalf,ICA
62,Can my company claim gst for Singaporean medical expenses preemployment,IRAS GST
63,How do I revive my business,ACRA
64,may i simply call 999,SPF
65,I only received 4 tickets,MINDEF
66,private company limited by shares required for audit,ACRA
67,how ro exempt import GT when I send consigned material,IRAS GST
68,Still can do online registration for Primary 1,MOE
69,Hi Im a foreigner with the S Pass work permit i started my job from 1st May 2018 Should I pay the tax in my 1 year of working in Singapore Thank you,IRAS IIT
70,Would you channel my enquiry to us organization as am sure this will be of great benefit MOE Kindergarten,MOE
71,hi where to i report at Toa payoh stadium for the IPPT,MINDEF
72,Can I use my HDB flat as Companys registered office address,ACRA
73,How to change the claim,IRAS IIT
74,how do i cancel renew license,AVA
75,Can I renew rep 6 months before expiry,ICA
76,Is medical claim compensation taxable,IRAS IIT
77,what time does ICA Icollect closes,ICA
78,What is the phone number and email address of IRAS if I want to sent email regarding problem in filing my personal Income Tax,IRAS IIT
79,hi I would like to reprint my pdl,SPF
80,Just update myapplication onmy COC,SPF
81,how to apply for certificate of clearance,SPF
82,how to hire PnT PMETs?,SSG
83,I would like to renew my drivers license from abroad,SPF
84,HOW TO CONVERT FOREIGN DRIVER LICENSE,SPF
85,How do I print out my ic,ICA
86,How Long to approve company name,ACRA
87,I cant seem to pass the first stage of Renewal of Road Tax even though i input the right vehicle number and owners ID,LTA
88,PTR claim can be done by Foreigner,IRAS IIT
89,ns call centre,MINDEF
90,is there any ban on pork products into singapore,AVA
91,collect passport at post office near my home,ICA
92,monkey,AVA
93,contact number from overseas,IRAS IIT
94,Hi how can I find the copy of my reentry permit,ICA
95,Are genuine reimbursements subject to personal tax,IRAS IIT
96,hi i cannot log in with my singpass for my tax,IRAS IIT
97,How to login and register,SSG
98,is there any email address i can write to,SPF
99,previous employer IR8A,IRAS IIT
100,front of package nutrition labeling,AVA
101,acra opening hours,ACRA
102,How do I retrieve my PR application reference number if I do not have a SingPass,ICA
103,how to renew autopass card online,LTA
104,Hi I want to check if there are any reliefs for Domestic Helper Levy,IRAS IIT
105,How do register as a training provider,SSG
106,How to report damage of opc seal,LTA
107,work permit login mytax portal,IRAS IIT
108,Hi i was there last jan 2 and i forgot one receipt to get my tax refund Is it possible i can still claim it Heres my email saralynokzyahoocom,IRAS GST
109,collect passport overseas,ICA
110,Is the career coach only for singaporeans,SSG
111,how can i change my status from single to married,IRAS IIT
112,Why i cant change my email account,MINDEF
113,what is GST account no,IRAS GST
114,Extant visa,ICA
115,what if do not have certified statement of accounts,IRAS IIT
116,report errant PMD,LTA
117,what i the age limit for PMD,LTA
118,what to bring for preenlistee ippt test,MINDEF
119,I had lost my EZLink card and had reported lost to the EZLink customers servicebut they had reply me yesterday midnight that I already fall sleep,SPF
120,Can you complain here,SPF
121,contribute to medisave,IRAS IIT
122,Do I still have a provisional driving licence after 1 year of driving,SPF
123,Can foreign maid levy be claimed by employers husband,IRAS IIT
124,Qualifying Child Relief of up to 4000,IRAS IIT
125,Law on dog ownership,AVA
126,Both my motorcycles are registered before July 2003 May I know why theyre arent eligible for the PARF rebate,LTA
127,Hello I am a Singapore PR and I renew my passport recently how can I update my new passport NO on my REP,ICA
128,How much fee for privated limited company,ACRA
129,my application for visa was rejected can i put in a new application,ICA
130,Where do I pay my traffic offence,SPF
131,I am applying my PR but have not yet finished uploading my documents However it already go to the payment page How can I go back to the upload document procedure,ICA
132,I did not print the pop up window showing payment How should I do it now,ICA
133,I hold a valid visa issued by the United States of America I am an Indian national Am I eligible for 4 days transit visa,ICA
134,how to change chil birth certificate,ICA
135,Hi I wanted to register my company as Sugar On Pte Ltd but its unavailable,ACRA
136,Tennis Girls DSA,MOE
137,what is the type of accounting standard to used,ACRA
138,Mam what ePR,ICA
139,can i enquiry about the other employment income,IRAS IIT
140,New pr driving license,SPF
141,deemed output tax on sale of fixed assetes,IRAS GST
142,Can I change the business activity,ACRA
143,i do not know the date my driving licence expire it is not shown on my licence,SPF
144,conersation of N18 to Z10,LTA
145,Click on individuals and select File individual Income tax form BB1 i cant find it,IRAS IIT
146,OPTICAL TAXABLE,IRAS IIT
147,send second Registration mark,LTA
148,Check passport redi for collection,ICA
149,How do I apply for possesion of arms,SPF
150,how to resend passport photo,ICA
151,fee for coc,SPF
152,my acra license expire,ACRA
153,do i need to take ippt for first session of ipt,MINDEF
154,is FIN number starting with G valid,ICA
155,I know of a guy who o income tax of 60000 and ran away from Singapore,IRAS IIT
156,Can parent apply on behalf exit permit for their children,MINDEF
